14 bookable slots on 2026-08-17:
  2026-08-17 09:00:00 .. 2026-08-17 09:20:00
  2026-08-17 09:30:00 .. 2026-08-17 09:50:00
  2026-08-17 10:00:00 .. 2026-08-17 10:20:00
  2026-08-17 10:30:00 .. 2026-08-17 10:50:00
  2026-08-17 11:00:00 .. 2026-08-17 11:20:00
  2026-08-17 11:30:00 .. 2026-08-17 11:50:00
  2026-08-17 13:00:00 .. 2026-08-17 13:20:00
  2026-08-17 13:30:00 .. 2026-08-17 13:50:00
  2026-08-17 14:00:00 .. 2026-08-17 14:20:00
  2026-08-17 14:30:00 .. 2026-08-17 14:50:00
  2026-08-17 15:00:00 .. 2026-08-17 15:20:00
  2026-08-17 15:30:00 .. 2026-08-17 15:50:00
  2026-08-17 16:00:00 .. 2026-08-17 16:20:00
  2026-08-17 16:30:00 .. 2026-08-17 16:50:00
